name,type,baseDamageRateDecimal,rateDecimalStepPerLevel,minLevel,maxLevel
SCOPE ARROW,Active,7.57,0.24,,
FAKE SHOT,Passive,6.10,0.38,,
AERIAL CHAIN SHOT,Active,10.81,0.39,,
SIEGE STANCE,Active,34.43,2.29,,
ARROW SHOWER,Active,21.47,3.07,,
ARROW BARRAGE,Ultimate,53.32,0,1,1
SWIFT SHOT,Active,6.24,0.22,,
RAPID SHOT,Active,7.46,0.39,,
TRACKING ARROWS,Active,8.18,1.17,,
REVOLUTION BALISTA,Ultimate,52.07,0,1,1
BULLS EYE,Active,4.57,0.57,,
TRIANGLE SHOT,Passive,5.98,0.26,,
STUNNING SHOT,Active,4.57,0.38,,
ANKLE SHOT,Active,6.22,0.78,,
