name,type,baseDamageRateDecimal,rateDecimalStepPerLevel,minLevel,maxLevel
FIREBALL,Active,12.06,0.39,,
FLAME SPARK,Passive,5.46,0.34,,
FROST WIND,Passive,5.67,0.35,,
ICY SHARDS,Active,6.12,0.20,,
INFERNO,Active,20.52,0.73,,
FREEZING FIELD,Active,11.08,0.40,,
FIRE WALL,Active,11.96,0.63,,
PHOENIX STORM,Active,7.76,0.48,,
GLACIAL WAVE,Active,6.05,0.38,,
FROZEN SPIKES,Active,6.00,0.32,,
IGNITE,Active,14.54,1.21,,
SHATTERED,Active,9.13,0.76,,
FLAME ROAD,Active,29.42,4.20,,
CHILLING MIST,Active,9.85,1.41,,
FIERY VORTEX,Ultimate,58.62,0,1,1
BLIZZARD,Ultimate,27.66,0,1,1
